ts;humidity;light;motion;temperature;vdd
1591784125098;68;53;0;20.8;3561
1591784425073;68;66;0;20.8;3561
1591784725054;67;54;0;20.8;3561
1591785025062;67;76;0;20.8;3561
1591785325009;67;56;0;20.8;3561
1591785625023;67;46;0;20.8;3561
1591785924978;67;58;0;20.8;3563
1591786224956;67;51;0;20.8;3561
1591786524964;67;49;0;20.8;3561
1591787124950;67;62;0;20.9;3561
1591787424903;67;64;0;20.9;3566
1591787724882;67;66;0;20.9;3563
1591788024847;67;62;0;20.9;3561
1591788324848;67;63;0;20.9;3563
1591788624843;67;51;0;20.9;3561
1591788924808;67;69;0;21;3563
1591789224818;67;64;0;20.9;3563
1591789524815;67;47;0;21;3561
1591789824808;67;32;0;21;3566
1591790124756;67;29;0;21;3563
1591790424770;67;30;0;20.9;3563
1591790724735;67;8;0;21;3566
1591791024716;67;3;0;21;3561
1591791324724;67;3;0;21;3563
1591791924684;67;2;0;20.9;3563
1591792224698;67;1;0;20.9;3561
1591792524641;67;1;0;20.9;3563
1591792824619;67;1;0;20.9;3563
1591793124607;67;1;0;20.9;3563
1591793424586;67;1;0;20.9;3563
1591793724583;67;1;0;20.9;3561
1591794024559;67;1;0;20.9;3566
1591794324567;67;1;0;20.9;3561
1591794924538;67;1;0;20.9;3563
1591795224501;67;1;0;20.8;3561
1591795524485;67;1;0;20.8;3563
1591795824466;67;1;0;20.8;3563
1591796124459;67;1;0;20.8;3563
1591796424460;67;1;0;20.8;3563
1591796724447;67;1;0;20.7;3561
1591797024427;67;1;0;20.8;3566
1591797324425;67;1;0;20.8;3563
1591797624374;67;1;0;20.7;3563
1591798224338;67;1;0;20.7;3563
1591798824329;67;1;0;20.7;3561
1591799124327;67;1;0;20.7;3563
1591799724290;67;1;0;20.6;3563
1591800024257;67;1;0;20.6;3561
1591800324238;67;1;0;20.6;3566
1591800624227;68;1;0;20.6;3563
1591800924205;68;1;0;20.6;3561
1591801524181;68;1;0;20.6;3563
1591801824188;68;1;0;20.6;3561
1591802424156;68;1;0;20.6;3563
1591802724091;68;1;0;20.5;3561
1591803024098;68;2;0;20.5;3563
1591803924077;69;2;0;20.5;3561
1591804224063;69;2;0;20.5;3563
1591804524034;69;2;0;20.5;3563
1591804824027;69;2;0;20.5;3561
1591805423976;69;2;0;20.5;3561
1591805723967;70;3;0;20.5;3561
