ts;externalTemperature;humidity;light;motion;temperature;vdd
1596272531305;20.2;56;23;2;21.9;3564
1596272831051;20.4;56;22;3;21.8;3564
1596273133127;20.5;55;25;2;21.9;3561
1596273430371;20.3;56;23;3;21.8;3561
1596273731287;20.3;55;24;2;21.9;3564
1596274038492;20.3;56;23;3;21.9;3564
1596274330112;20.4;56;25;2;21.9;3564
1596274628575;20.3;56;31;3;21.9;3564
1596274929194;20.3;55;23;2;21.9;3564
1596275227503;20.4;55;17;3;22;3564
1596275532373;20.5;55;15;2;22;3564
1596275828227;20.4;55;14;3;21.9;3564
1596276131668;20.3;55;13;2;22;3564
1596276436704;20.3;55;13;3;21.9;3564
1596276728351;20.4;55;14;2;21.9;3564
1596277028508;20.5;55;13;3;21.9;3561
1596277330239;20.4;55;18;2;22;3564
1596277626443;20.4;55;30;3;21.9;3564
1596277930279;20.5;55;16;2;22;3564
1596278226039;20.5;55;13;3;22;3564
1596278528185;20.4;55;13;2;22;3564
1596278826919;20.3;55;10;3;22;3564
1596279131809;20.4;55;12;2;22;3564
1596279428844;20.4;55;13;3;22;3564
1596279728438;20.4;55;14;2;22;3564
1596280029578;20.4;55;11;3;22;3564
1596280327091;20.3;55;10;2;21.9;3564
1596280630631;20.3;55;8;3;22;3564
1596280927691;20.4;55;9;2;22;3564
1596281227807;20.3;55;13;3;22;3564
1596281531349;20.3;56;12;2;22;3564
1596281834619;20.5;56;10;3;22;3564
1596282131435;20.4;56;12;2;22;3564
1596282428195;20.4;56;9;3;22;3564
1596282729223;20.4;56;32;2;22;3564
1596283028635;20.3;55;32;3;22;3564
1596283329635;20.4;56;30;2;22;3564
1596283627907;20.4;56;34;3;22;3564
1596283929815;20.3;56;38;2;22;3564
1596284227003;20.4;55;45;3;22;3564
1596445315293;19.7;54;10;2;21.3;3559
1596445613655;19.5;54;10;3;21.3;3559
1596445914472;19.6;54;10;2;21.3;3561
1596446212768;19.6;54;11;3;21.3;3561
1596446514477;19.7;54;38;2;21.3;3561
1596446823553;19.6;54;36;3;21.3;3559
1596447112689;19.7;54;6;2;21.3;3561
1596447413422;19.7;54;5;3;21.3;3561
1596447715344;19.6;54;7;2;21.4;3561
1596448014698;19.6;54;12;3;21.3;3561
1596448313050;19.9;54;35;2;21.3;3561
1596448615244;19.8;54;34;3;21.3;3561
1596448914304;19.8;54;33;2;21.3;3559
1596449213449;19.7;54;34;3;21.3;3561
1596449514911;19.8;54;35;2;21.4;3559
1596449815245;19.7;54;38;3;21.4;3564
1596450117446;19.8;54;36;2;21.4;3559
1596450419396;19.9;54;11;3;21.4;3564
1596450714938;19.9;54;28;2;21.4;3561
1596451012772;19.8;54;8;3;21.4;3561
1596451314788;19.9;54;31;2;21.4;3561
1596451612946;19.9;54;31;3;21.4;3561
1596451914707;20;53;21;2;21.4;3561
1596452213188;19.9;53;26;3;21.4;3559
1596452512590;19.9;54;14;2;21.4;3561
1596452812600;19.9;53;28;3;21.4;3561
1596453114126;19.9;54;31;2;21.4;3561
1596453412391;19.9;54;35;3;21.5;3561
1596453713509;20;53;35;2;21.5;3561
1596454012984;20;53;34;3;21.5;3564
1596454312614;20.1;53;34;2;21.5;3561
1596454613532;20;53;37;3;21.5;3561
1596454913533;20.1;53;19;2;21.5;3564
1596455212143;20;53;49;3;21.5;3564
1596455513538;20.1;53;41;2;21.5;3561
1596455812777;20.1;53;39;3;21.5;3561
1596456111947;20.1;53;37;2;21.5;3564
1596456413840;20.2;53;37;3;21.5;3561
1596456715021;20.1;53;38;2;21.5;3561
1596457013784;20.2;53;45;3;21.6;3559
1596457314878;20.3;53;8;2;21.6;3561
1596457612906;20.1;53;9;3;21.5;3561
1596457912996;20.2;53;38;2;21.6;3561
1596458217852;20.1;53;40;3;21.6;3561
1596458512308;20.1;53;39;2;21.6;3561
1596458812793;20.1;53;8;3;21.6;3564
1596459111989;20.1;53;9;2;21.6;3561
1596459411656;20.1;53;35;3;21.6;3561
1596459711755;20.2;53;33;2;21.6;3561
1596460013245;20.2;53;31;3;21.7;3561
1596460312759;20;53;28;2;21.6;3561
1596460614241;20;53;35;3;21.6;3564
1596460912789;20.2;53;24;2;21.6;3559
1596461212583;20.1;53;43;3;21.6;3561
1596461512737;20.2;53;47;2;21.6;3561
1596461814669;20.3;53;45;3;21.6;3561
1596462113769;20.1;53;46;2;21.6;3564
1596462414186;20.2;53;19;3;21.6;3561
1596462712985;20.4;53;66;2;21.7;3561
1596463011944;20.3;53;81;3;21.6;3561
1596463312207;20.3;53;98;2;21.6;3564
1596463612718;20.6;53;128;3;21.7;3561
1596464211924;20.6;53;107;3;21.7;3561
1596464512466;20.3;53;19;2;21.7;3561
1596464811167;20.4;53;82;3;21.7;3564
1596465112053;20.4;53;58;2;21.7;3564
1596465411625;20.4;53;66;3;21.8;3564
1596465713102;20.6;53;121;2;21.7;3561
1596466013029;20.7;53;129;3;21.8;3564
1596466312218;20.7;53;109;2;21.8;3564
1596466611944;20.6;53;103;3;21.8;3561
1596466914028;20.4;53;53;2;21.8;3561
1596467211495;20.3;53;36;3;21.8;3564
1596467513067;20.3;53;6;2;21.8;3564
1596467811584;20.3;53;5;3;21.7;3561
1596468111266;20.2;53;6;2;21.8;3564
1596468411064;20.2;53;9;3;21.8;3564
1596468713331;20.1;53;9;2;21.8;3561
1596469011165;20.2;53;11;3;21.8;3564
1596469311238;20.2;53;17;2;21.7;3564
1596469612822;20;53;16;3;21.7;3564
1596469912059;20.1;53;13;2;21.8;3564
1596470211067;20.2;53;9;3;21.7;3564
1596470510960;20.1;53;8;2;21.7;3561
1596470811185;20;53;9;3;21.7;3564
1596471112472;20;53;6;2;21.7;3564
1596471411261;19.9;53;3;3;21.7;3564
1596471711726;20;53;2;2;21.7;3564
1596472011851;19.9;53;2;3;21.6;3564
1596472310783;19.9;53;2;2;21.7;3564
1596472612046;19.8;53;2;3;21.7;3564
1596472911354;20;53;1;2;21.6;3561
1596473212294;20;53;1;3;21.7;3561
1596473512937;19.9;54;1;2;21.6;3561
1596473811873;19.8;54;1;3;21.6;3564
1596474112136;19.8;54;1;2;21.6;3564
1596474412616;19.8;54;1;3;21.6;3561
1596474711572;19.8;54;1;2;21.6;3561
1596475011403;19.7;54;1;3;21.6;3564
1596475313219;19.9;54;0;2;21.6;3564
1596475611641;19.7;54;0;3;21.6;3564
1596475911584;19.7;54;0;2;21.6;3564
1596476210403;19.8;54;0;3;21.6;3564
1596476517076;19.7;54;0;2;21.6;3564
1596476811503;19.7;54;0;3;21.6;3564
1596477111215;19.7;54;0;2;21.6;3561
1596477411602;19.7;54;0;3;21.6;3564
1596477712115;19.6;54;0;2;21.5;3561
1596478010671;19.8;54;0;3;21.5;3564
1596478314123;19.7;54;0;2;21.5;3561
1596478612163;19.8;54;0;3;21.5;3564
1596478913462;19.7;54;0;2;21.5;3561
1596479210985;19.8;54;0;3;21.5;3561
1596479510170;19.7;54;0;2;21.5;3564
1596479812203;19.6;54;0;3;21.5;3564
1596480110532;19.6;54;0;2;21.5;3561
1596480410389;19.6;54;0;3;21.5;3561
1596480710396;19.7;54;0;2;21.5;3561
1596481010184;19.7;54;0;3;21.5;3561
1596481310812;19.6;54;0;2;21.4;3564
1596481610369;19.6;54;0;3;21.5;3561
1596481911376;19.6;55;0;2;21.4;3561
1596482210625;19.6;55;0;3;21.5;3561
1596482511983;19.4;55;0;2;21.4;3564
1596482812023;19.5;55;0;3;21.4;3559
1596483111183;19.5;55;0;2;21.4;3561
1596483412790;19.4;55;0;3;21.4;3561
1596483709990;19.6;55;0;2;21.4;3561
1596484017429;19.4;55;0;3;21.4;3561
1596484311574;19.5;55;0;2;21.4;3561
1596484611579;19.4;55;0;3;21.4;3561
1596484911428;19.5;55;0;2;21.4;3561
1596485210792;19.5;55;0;3;21.4;3564
1596485510214;19.4;55;0;2;21.4;3561
1596485812493;19.4;55;0;3;21.4;3564
1596486111645;19.5;55;0;2;21.4;3564
1596486412184;19.6;55;0;3;21.4;3564
1596486711331;19.4;55;0;2;21.3;3561
1596487013222;19.4;55;0;3;21.4;3561
1596487311230;19.5;55;0;2;21.4;3561
1596487610983;19.6;55;0;3;21.3;3564
1596487911146;19.5;55;0;2;21.3;3564
1596488212898;19.5;55;0;3;21.3;3559
1596488510604;19.4;55;0;2;21.3;3561
1596488809722;19.4;55;0;3;21.3;3561
1596489112458;19.4;55;0;2;21.3;3561
1596489412873;19.3;55;0;3;21.3;3561
1596489710063;19.4;55;0;2;21.3;3561
1596490016595;19.5;55;0;3;21.3;3559
1596490311234;19.4;55;0;2;21.3;3559
1596490611622;19.3;55;0;3;21.3;3561
1596490909385;19.3;55;0;2;21.3;3561
1596491211127;19.4;55;0;3;21.3;3561
1596491509378;19.4;55;0;2;21.3;3561
1596491813657;19.4;55;0;3;21.3;3561
1596492110517;19.4;55;0;2;21.3;3564
1596492411507;19.3;55;0;3;21.3;3561
1596492709617;19.3;55;0;2;21.3;3561
1596493010239;19.3;55;0;3;21.3;3561
1596493310023;19.3;55;0;2;21.3;3564
1596493613129;19.3;55;0;3;21.3;3561
1596493909822;19.4;55;0;2;21.3;3561
1596494212160;19.5;55;0;3;21.3;3561
1596494508950;19.4;55;0;2;21.2;3561
1596494810642;19.4;55;0;3;21.3;3561
1596495109784;19.3;55;0;2;21.2;3561
1596495417358;19.4;55;0;3;21.2;3559
1596495708804;19.3;55;0;2;21.3;3561
1596496009247;19.4;55;0;3;21.2;3559
1596496310640;19.4;55;0;2;21.3;3559
1596496609391;19.4;55;0;3;21.2;3561
1596496910388;19.3;55;0;2;21.2;3559
1596497210751;19.3;55;0;3;21.2;3561
1596497509101;19.3;55;0;2;21.2;3559
1596497811523;19.2;55;0;3;21.2;3561
1596498110664;19.3;55;0;2;21.2;3559
1596498421206;19.3;55;0;3;21.2;3561
1596498710508;19.3;55;0;2;21.2;3561
1596499011831;19.3;55;0;3;21.2;3561
1596499313752;19.4;55;0;2;21.2;3559
1596499609647;19.2;55;0;3;21.2;3561
1596499910164;19.3;55;0;2;21.2;3561
1596500210665;19.4;55;0;3;21.2;3561
1596500509392;19.4;55;0;2;21.2;3561
1596500810584;19.3;55;0;3;21.2;3561
1596501112597;19.2;55;0;2;21.1;3561
1596501410584;19.3;55;0;3;21.1;3561
1596501712862;19.2;55;0;2;21.1;3561
1596502014213;19.2;55;0;3;21.1;3559
1596502310768;19.2;55;0;2;21.2;3559
1596502610384;19.3;55;0;3;21.2;3561
1596502912173;19.2;55;0;2;21.1;3559
1596503210766;19.4;55;0;3;21.1;3559
1596503509583;19.2;55;0;2;21.1;3561
1596503810625;19.2;55;0;3;21.2;3561
1596504109926;19.3;55;0;2;21.2;3559
1596504410921;19.2;55;0;3;21.1;3561
1596504709927;19.2;55;0;2;21.1;3559
1596505014900;19.3;55;0;3;21.2;3559
1596505308914;19.2;55;0;2;21.1;3561
1596505610014;19.3;55;0;3;21.1;3561
1596505908401;19.2;55;0;2;21.1;3559
1596506210499;19.3;55;1;3;21.1;3561
1596506509849;19.2;55;1;2;21.1;3559
1596506809407;19.2;55;1;3;21.1;3561
1596507108384;19.2;55;1;2;21.1;3559
1596507410149;19.2;54;1;3;21.1;3561
1596507709784;19.4;54;1;2;21.1;3559
1596508014458;19.2;54;1;3;21.1;3559
1596508308965;19.3;54;2;2;21.1;3559
1596508610652;19.3;54;2;3;21.1;3561
1596508909271;19.2;55;2;2;21.1;3559
1596509209146;19.3;54;2;3;21.1;3561
1596509509766;19.2;54;3;2;21;3561
1596509808822;19.3;54;3;3;21.1;3559
1596510109247;19.2;54;3;2;21.1;3561
1596510409398;19.1;54;3;3;21.1;3559
1596510708804;19.2;54;4;2;21.1;3559
1596511009427;19.4;54;4;3;21.1;3559
1596511308257;19.3;54;4;2;21;3561
1596511608759;19.2;54;5;3;21.1;3561
1596511908818;19.3;54;5;2;21.1;3561
1596512208384;19.3;54;5;3;21.1;3561
1596512509583;19.3;54;5;2;21.1;3559
1596512809648;19.4;54;5;3;21.1;3559
1596513108862;19.5;54;6;2;21.1;3559
1596513409310;19.4;54;6;3;21.1;3561
1596513708998;19.3;54;6;2;21.1;3559
1596514009630;19.4;54;6;3;21.1;3561
1596514308517;19.3;54;7;2;21.1;3559
1596514607618;19.4;54;7;3;21.1;3561
1596514909250;19.3;54;7;2;21.2;3561
1596515209325;19.3;54;8;3;21.1;3559
1596515507618;19.4;54;8;2;21.2;3559
1596515807538;19.4;54;8;3;21.1;3561
1596516110620;19.5;54;9;2;21.2;3561
1596516407442;19.3;54;9;3;21.1;3561
1596516707419;19.5;54;9;2;21.2;3559
1596517010548;19.3;54;10;3;21.1;3559
1596517310825;19.4;54;10;2;21.1;3559
1596517607559;19.5;54;10;3;21.1;3559
1596517911004;19.5;54;11;2;21.1;3561
1596518209222;19.4;54;11;3;21.2;3559
1596518509662;19.6;54;11;2;21.1;3561
1596518808899;19.6;54;12;3;21.2;3561
1596519110933;19.5;54;12;2;21.2;3559
1596519407386;19.5;54;12;3;21.2;3559
1596519709850;19.5;54;13;2;21.2;3561
1596520012883;19.5;54;14;3;21.2;3561
1596520307923;19.6;54;15;2;21.2;3559
1596520607921;19.5;54;15;3;21.2;3561
1596520909313;19.7;54;16;2;21.2;3559
1596521211002;19.5;54;17;3;21.2;3559
1596521509334;19.5;54;17;2;21.2;3559
1596521808574;19.6;54;18;3;21.2;3559
1596522109238;19.6;54;18;2;21.3;3561
1596522407245;19.6;54;19;3;21.3;3559
1596522720429;19.6;54;19;2;21.3;3561
1596523011909;19.6;54;19;3;21.2;3561
1596523307180;19.6;54;19;2;21.2;3561
1596523608537;19.6;54;19;3;21.3;3561
1596523907029;19.6;54;19;2;21.3;3561
1596524208038;19.6;54;20;3;21.3;3561
1596524508407;19.7;54;21;2;21.3;3561
1596524809112;19.7;54;21;3;21.3;3561
1596525106989;19.7;54;22;2;21.3;3561
1596525408783;19.8;54;19;3;21.4;3561
1596525707965;19.7;54;23;2;21.3;3561
1596526026240;19.8;54;24;3;21.4;3561
1596526308626;19.7;54;22;2;21.4;3561
1596526606827;19.8;54;18;3;21.3;3561
1596526910880;19.9;54;21;2;21.4;3561
1596527209661;19.9;54;24;3;21.4;3561
1596527510370;20;54;26;2;21.4;3561
1596527807351;20.1;54;28;3;21.4;3561
1596528108567;19.9;54;27;2;21.4;3561
1596528408127;19.9;54;25;3;21.4;3561
1596528707417;20.1;54;25;2;21.5;3564
1596529008803;20;54;20;3;21.5;3564
1596529306722;20;54;21;2;21.4;3564
1596529607603;20.1;54;24;3;21.5;3561
1596529908067;20.1;54;25;2;21.5;3561
1596530207583;20;54;23;3;21.5;3561
1596530508154;20.2;54;29;2;21.5;3561
1596530806592;20.1;54;33;3;21.5;3564
1596531108516;20;54;30;2;21.5;3561
1596531409405;20;54;29;3;21.5;3561
1596531708385;20.1;54;29;2;21.5;3564
1596532007908;20.2;54;30;3;21.5;3561
1596532308390;20;54;33;2;21.5;3561
1596532610128;20.2;54;17;3;21.6;3561
1596532908376;20.1;54;35;2;21.5;3564
1596533209550;20.2;54;35;3;21.6;3561
1596533506404;20.1;54;29;2;21.5;3561
1596533809330;20.2;54;25;3;21.6;3561
1596534107782;20.3;54;22;2;21.6;3564
1596534408943;20.2;54;25;3;21.6;3561
1596534707211;20.2;54;27;2;21.6;3564
1596535008462;20.2;54;29;3;21.6;3561
1596535306236;20.3;54;31;2;21.6;3564
1596535607012;20.3;54;31;3;21.6;3561
1596535906226;20.4;54;32;2;21.6;3564
1596536206625;20.3;54;31;3;21.6;3561
1596536507711;20.3;54;24;2;21.7;3561
1596536809185;20.4;54;34;3;21.7;3564
1596537125474;20.3;54;36;2;21.7;3564
1596537406301;20.4;54;32;3;21.7;3564
1596537706167;20.5;54;35;2;21.7;3564
1596538011248;20.5;54;28;3;21.7;3564
1596538307505;20.4;54;33;2;21.6;3564
1596538607725;20.4;54;30;3;21.7;3561
1596538906134;20.5;54;14;2;21.7;3564
1596539208326;20.4;54;24;3;21.7;3564
1596539508423;20.4;54;24;2;21.7;3564
1596539807821;20.6;54;27;3;21.8;3564
1596540107518;20.4;54;25;2;21.7;3564
1596540405962;20.5;54;23;3;21.7;3564
1596540707522;20.4;54;22;2;21.7;3561
